Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
,SVR,0.0266,0.0180,5.148,0.0704,0.0476,4.480,0.714
,TCN,0.0254,0.0170,4.815,0.0671,0.0449,4.195,0.740
,TFT,0.0256,0.0172,4.893,0.0677,0.0454,4.261,0.735
October 2021,ARIMA,0.0152,0.0104,2.920,0.0403,0.0276,2.553,-0.216
,GRU,0.0155,0.0109,3.060,0.0410,0.0289,2.675,-0.255
,HYBRID,0.0156,0.0110,3.066,0.0412,0.0290,2.681,-0.270
,KNN,0.0150,0.0104,2.906,0.0396,0.0275,2.541,-0.173
,LSTM,0.0155,0.0107,3.000,0.0410,0.0283,2.623,-0.259
,RF,0.0158,0.0114,3.167,0.0419,0.0300,2.770,-0.311
,SVR,0.0142,0.0100,2.792,0.0376,0.0263,2.440,-0.056
,TCN,0.0151,0.0100,2.793,0.0399,0.0264,2.442,-0.191
,TFT,0.0149,0.0103,2.882,0.0394,0.0272,2.519,-0.161
November 2021,ARIMA,0.0160,0.0126,3.449,0.0424,0.0334,3.022,0.789
,GRU,0.0164,0.0134,3.684,0.0433,0.0356,3.226,0.780
,HYBRID,0.0164,0.0134,3.672,0.0433,0.0355,3.216,0.780
,KNN,0.0161,0.0125,3.425,0.0426,0.0331,3.000,0.787
,LSTM,0.0161,0.0131,3.602,0.0426,0.0348,3.155,0.787
,RF,0.0166,0.0130,3.581,0.0440,0.0345,3.136,0.773
,SVR,0.0160,0.0123,3.356,0.0422,0.0326,2.942,0.791
,TCN,0.0159,0.0124,3.395,0.0421,0.0328,2.975,0.793
,TFT,0.0165,0.0127,3.459,0.0436,0.0335,3.032,0.777
December 2021,ARIMA,0.0149,0.0120,4.383,0.0395,0.0317,3.688,0.577
,GRU,0.0149,0.0116,4.239,0.0395,0.0306,3.567,0.577
,HYBRID,0.0148,0.0115,4.221,0.0391,0.0305,3.553,0.585
,KNN,0.0146,0.0115,4.200,0.0385,0.0303,3.534,0.598
,LSTM,0.0150,0.0119,4.335,0.0397,0.0314,3.649,0.574
,RF,0.0153,0.0120,4.388,0.0405,0.0318,3.694,0.555
,SVR,0.0151,0.0116,4.242,0.0400,0.0306,3.568,0.566
,TCN,0.0147,0.0118,4.291,0.0389,0.0312,3.613,0.591
,TFT,0.0151,0.0118,4.330,0.0400,0.0313,3.643,0.566
January 2022,ARIMA,0.0092,0.0069,3.216,0.0244,0.0182,2.586,0.914
,GRU,0.0094,0.0071,3.300,0.0248,0.0187,2.656,0.912
,HYBRID,0.0092,0.0070,3.271,0.0244,0.0186,2.632,0.914
,KNN,0.0094,0.0070,3.245,0.0248,0.0185,2.613,0.911
,LSTM,0.0093,0.0071,3.320,0.0245,0.0188,2.669,0.914
,RF,0.0094,0.0069,3.250,0.0249,0.0184,2.613,0.911
,SVR,0.0102,0.0075,3.474,0.0270,0.0197,2.795,0.895
,TCN,0.0093,0.0070,3.257,0.0247,0.0185,2.620,0.912
,TFT,0.0097,0.0071,3.314,0.0257,0.0188,2.665,0.905
February 2022,ARIMA,0.0183,0.0140,5.849,0.0484,0.0370,4.808,0.607
,GRU,0.0189,0.0150,6.293,0.0501,0.0396,5.169,0.579
,HYBRID,0.0187,0.0148,6.197,0.0495,0.0391,5.093,0.588
,KNN,0.0182,0.0140,5.907,0.0482,0.0371,4.851,0.609
,LSTM,0.0189,0.0148,6.225,0.0500,0.0392,5.113,0.579
,RF,0.0193,0.0149,6.236,0.0510,0.0393,5.123,0.563
,SVR,0.0183,0.0141,5.908,0.0483,0.0373,4.855,0.608
,TCN,0.0185,0.0142,5.976,0.0489,0.0376,4.907,0.598
,TFT,0.0183,0.0141,5.930,0.0485,0.0374,4.871,0.605
March 2022,ARIMA,0.0092,0.0070,2.877,0.0244,0.0186,2.377,0.703
,GRU,0.0096,0.0073,2.979,0.0255,0.0192,2.461,0.676
,HYBRID,0.0097,0.0074,3.025,0.0257,0.0195,2.500,0.672
,KNN,0.0095,0.0071,2.907,0.0252,0.0188,2.402,0.685
,LSTM,0.0095,0.0071,2.892,0.0252,0.0187,2.389,0.684
,RF,0.0103,0.0080,3.272,0.0273,0.0212,2.704,0.628
,SVR,0.0098,0.0078,3.194,0.0258,0.0205,2.637,0.667
,TCN,0.0094,0.0071,2.895,0.0249,0.0187,2.392,0.691
,TFT,0.0094,0.0071,2.910,0.0248,0.0187,2.403,0.694
April 2022,ARIMA,0.0100,0.0078,3.535,0.0264,0.0207,2.865,0.831
,GRU,0.0099,0.0077,3.413,0.0261,0.0202,2.773,0.836
,HYBRID,0.0100,0.0078,3.494,0.0264,0.0206,2.836,0.832
,KNN,0.0103,0.0079,3.572,0.0271,0.0209,2.893,0.823
,LSTM,0.0099,0.0076,3.406,0.0261,0.0201,2.763,0.835
,RF,0.0096,0.0074,3.353,0.0254,0.0196,2.716,0.844
,SVR,0.0109,0.0085,3.852,0.0288,0.0224,3.117,0.800
,TCN,0.0098,0.0076,3.414,0.0260,0.0200,2.768,0.837
,TFT,0.0112,0.0087,3.983,0.0296,0.0231,3.222,0.788
May 2022,ARIMA,0.0117,0.0082,6.716,0.0309,0.0217,4.687,0.868
,GRU,0.0115,0.0084,6.799,0.0304,0.0222,4.757,0.872
,HYBRID,0.0114,0.0084,6.814,0.0302,0.0222,4.767,0.874
,KNN,0.0116,0.0082,6.717,0.0306,0.0216,4.683,0.870
,LSTM,0.0114,0.0085,6.906,0.0302,0.0224,4.828,0.874
,RF,0.0113,0.0082,6.766,0.0299,0.0217,4.710,0.876
,SVR,0.0121,0.0083,6.832,0.0320,0.0219,4.754,0.858
,TCN,0.0114,0.0081,6.617,0.0300,0.0214,4.617,0.875
,TFT,0.0118,0.0080,6.586,0.0312,0.0212,4.588,0.865
Mean,ARIMA,0.0158,0.0118,4.562,0.0417,0.0311,3.736,0.689
,GRU,0.0159,0.0119,4.618,0.0420,0.0316,3.784,0.681
,HYBRID,0.0158,0.0119,4.606,0.0418,0.0315,3.773,0.682
,KNN,0.0157,0.0117,4.529,0.0414,0.0309,3.707,0.694
,LSTM,0.0157,0.0118,4.596,0.0416,0.0313,3.763,0.685
,RF,0.0160,0.0120,4.678,0.0423,0.0319,3.829,0.669
,SVR,0.0159,0.0118,4.639,0.0421,0.0313,3.791,0.693
,TCN,0.0155,0.0115,4.480,0.0411,0.0305,3.667,0.695
,TFT,0.0159,0.0117,4.568,0.0420,0.0310,3.737,0.688
