Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
,TFT,0.0169,0.0119,8.432,6.158,4.332,5.764,0.801
Mean,ARIMA,0.0198,0.0149,4.564,7.218,5.442,3.732,0.752
,GRU,0.0194,0.0146,4.475,7.064,5.329,3.657,0.761
,HYBRID,0.0194,0.0147,4.493,7.092,5.354,3.671,0.760
,KNN,0.0197,0.0148,4.543,7.203,5.381,3.710,0.752
,LSTM,0.0187,0.0143,4.401,6.837,5.230,3.595,0.774
,RF,0.0199,0.0150,4.626,7.265,5.481,3.778,0.749
,SVR,0.0208,0.0155,4.818,7.569,5.637,3.924,0.726
,TCN,0.0198,0.0149,4.584,7.204,5.432,3.744,0.751
,TFT,0.0199,0.0149,4.603,7.267,5.431,3.755,0.746
