Test Period,Model,nRMSE,nMAE,nMAPE,RMSE,MAE,MAPE,R2
November 2021,ARIMA,0.0237,0.0187,3.869,10.778,8.518,3.413,0.593
,GRU,0.0236,0.0191,3.944,10.741,8.688,3.480,0.595
,HYBRID,0.0236,0.0191,3.938,10.721,8.679,3.475,0.597
,KNN,0.0232,0.0183,3.777,10.570,8.330,3.333,0.608
,LSTM,0.0229,0.0187,3.864,10.431,8.515,3.410,0.618
,RF,0.0246,0.0189,3.924,11.178,8.604,3.460,0.562
,SVR,0.0246,0.0198,4.103,11.166,9.018,3.619,0.563
,TCN,0.0236,0.0188,3.877,10.721,8.543,3.421,0.597
,TFT,0.0239,0.0183,3.786,10.885,8.338,3.341,0.584
December 2021,ARIMA,0.0194,0.0144,3.707,8.824,6.537,3.177,0.694
,GRU,0.0191,0.0143,3.717,8.692,6.505,3.183,0.703
,HYBRID,0.0186,0.0140,3.630,8.439,6.389,3.111,0.720
,KNN,0.0193,0.0142,3.648,8.793,6.437,3.127,0.696
,LSTM,0.0180,0.0140,3.624,8.175,6.354,3.104,0.738
,RF,0.0195,0.0143,3.707,8.856,6.501,3.175,0.692
,SVR,0.0212,0.0151,3.909,9.660,6.862,3.349,0.634
,TCN,0.0193,0.0149,3.831,8.779,6.756,3.284,0.697
,TFT,0.0194,0.0152,3.927,8.805,6.921,3.366,0.696
January 2022,ARIMA,0.0238,0.0200,5.628,10.808,9.118,4.743,0.888
,GRU,0.0224,0.0188,5.265,10.166,8.531,4.437,0.901
,HYBRID,0.0222,0.0187,5.245,10.096,8.513,4.422,0.902
,KNN,0.0235,0.0199,5.591,10.708,9.043,4.712,0.890
,LSTM,0.0222,0.0189,5.281,10.108,8.576,4.453,0.902
,RF,0.0235,0.0195,5.519,10.693,8.868,4.646,0.890
,SVR,0.0248,0.0207,5.770,11.299,9.402,4.869,0.877
,TCN,0.0237,0.0200,5.636,10.794,9.112,4.749,0.888
,TFT,0.0235,0.0198,5.574,10.693,9.027,4.698,0.890
February 2022,ARIMA,0.0170,0.0130,4.314,7.735,5.915,3.553,0.654
,GRU,0.0165,0.0127,4.236,7.518,5.792,3.486,0.673
,HYBRID,0.0166,0.0129,4.268,7.535,5.856,3.515,0.671
,KNN,0.0167,0.0129,4.295,7.608,5.881,3.536,0.665
,LSTM,0.0163,0.0123,4.084,7.398,5.610,3.365,0.683
,RF,0.0167,0.0132,4.407,7.596,6.021,3.627,0.666
,SVR,0.0192,0.0148,4.874,8.739,6.719,4.018,0.558
,TCN,0.0171,0.0132,4.384,7.771,6.017,3.611,0.651
,TFT,0.0171,0.0133,4.450,7.783,6.038,3.658,0.650
March 2022,ARIMA,0.0239,0.0161,4.603,10.872,7.343,3.885,0.619
,GRU,0.0238,0.0161,4.596,10.814,7.324,3.879,0.623
,HYBRID,0.0238,0.0161,4.593,10.807,7.325,3.877,0.624
,KNN,0.0239,0.0162,4.627,10.885,7.366,3.904,0.618
,LSTM,0.0232,0.0159,4.561,10.550,7.246,3.847,0.641
,RF,0.0262,0.0166,4.769,11.908,7.551,4.019,0.543
,SVR,0.0260,0.0166,4.714,11.840,7.555,3.982,0.548
,TCN,0.0239,0.0162,4.608,10.851,7.365,3.891,0.621
,TFT,0.0237,0.0163,4.641,10.781,7.392,3.916,0.626
April 2022,ARIMA,0.0234,0.0190,4.122,10.663,8.621,3.614,0.667
,GRU,0.0226,0.0179,3.897,10.256,8.163,3.417,0.692
,HYBRID,0.0226,0.0180,3.912,10.257,8.194,3.430,0.692
,KNN,0.0233,0.0190,4.117,10.602,8.633,3.611,0.671
,LSTM,0.0223,0.0179,3.890,10.148,8.147,3.411,0.698
,RF,0.0238,0.0190,4.134,10.815,8.635,3.624,0.657
,SVR,0.0270,0.0219,4.761,12.275,9.975,4.175,0.559
,TCN,0.0233,0.0188,4.082,10.601,8.547,3.579,0.671
,TFT,0.0233,0.0188,4.082,10.618,8.549,3.579,0.670
May 2022,ARIMA,0.0311,0.0260,7.836,14.128,11.808,6.542,0.633
,GRU,0.0315,0.0264,7.990,14.333,12.001,6.664,0.668
,HYBRID,0.0315,0.0264,7.972,14.308,11.996,6.652,0.669
,KNN,0.0321,0.0271,8.249,14.590,12.304,6.872,0.656
,LSTM,0.0307,0.0259,7.834,13.980,11.765,6.534,0.684
,RF,0.0321,0.0269,8.106,14.605,12.215,6.764,0.655
,SVR,0.0342,0.0294,8.894,15.546,13.352,7.418,0.610
,TCN,0.0325,0.0272,8.285,14.791,12.348,6.902,0.647
,TFT,0.0327,0.0264,8.093,14.859,12.012,6.737,0.643
Mean,ARIMA,0.0244,0.0188,4.536,11.119,8.569,3.905,0.649
,GRU,0.0241,0.0187,4.500,10.940,8.495,3.873,0.664
,HYBRID,0.0240,0.0187,4.503,10.918,8.511,3.877,0.665
,KNN,0.0245,0.0188,4.551,11.128,8.568,3.915,0.657
,LSTM,0.0234,0.0184,4.422,10.662,8.347,3.806,0.681
,RF,0.0251,0.0193,4.646,11.423,8.770,3.999,0.640
,SVR,0.0268,0.0205,4.941,12.191,9.334,4.254,0.577
,TCN,0.0245,0.0191,4.603,11.164,8.672,3.961,0.652
,TFT,0.0246,0.0190,4.587,11.196,8.624,3.945,0.650
